,YEAR,MONTH,JPN
0,2000,1,101.7
1,2000,2,107.67
2,2000,3,107.1
3,2000,4,104.82
4,2000,5,108.89
5,2000,6,108.74
6,2000,7,105.64
7,2000,8,109.47
8,2000,9,105.78
9,2000,10,108.81
10,2000,11,108.48
11,2000,12,111.15
12,2001,1,114.73
13,2001,2,115.33
14,2001,3,117.33
15,2001,4,126.75
16,2001,5,121.92
17,2001,6,119.13
18,2001,7,124.22
19,2001,8,124.87
20,2001,9,119.49
21,2001,10,120.27
22,2001,11,121.87
23,2001,12,123.9
24,2002,1,132.02
25,2002,2,133.77
26,2002,3,133.35
27,2002,4,133.32
28,2002,5,127.45
29,2002,6,123.69
30,2002,7,120.04
31,2002,8,119.1
32,2002,9,117.12
33,2002,10,122.73
34,2002,11,122.16
35,2002,12,124.61
36,2003,1,119.86
37,2003,2,120.47
38,2003,3,117.93
39,2003,4,118.25
40,2003,5,118.56
41,2003,6,118.52
42,2003,7,119.45
43,2003,8,120
44,2003,9,116.15
45,2003,10,110.61
46,2003,11,111.2
47,2003,12,109.61
48,2004,1,106.95
49,2004,2,105.59
50,2004,3,108.93
51,2004,4,103.7
52,2004,5,110.34
53,2004,6,110.45
54,2004,7,108.24
55,2004,8,111.08
56,2004,9,109.62
57,2004,10,110.45
58,2004,11,106.41
59,2004,12,102.78
60,2005,1,102.83
61,2005,2,103.93
62,2005,3,104.37
63,2005,4,107.57
64,2005,5,105.07
65,2005,6,108.42
66,2005,7,111.68
67,2005,8,112.12
68,2005,9,110.16
69,2005,10,114.17
70,2005,11,116.63
71,2005,12,120.62
72,2006,1,116.34
73,2006,2,117.85
74,2006,3,116.18
75,2006,4,117.82
76,2006,5,113.06
77,2006,6,112.43
78,2006,7,114.92
79,2006,8,114.96
80,2006,9,117.21
81,2006,10,117.66
82,2006,11,117.01
83,2006,12,115.33
84,2007,1,118.83
85,2007,2,120.67
86,2007,3,117.53
87,2007,4,117.69
88,2007,5,119.77
89,2007,6,122.1
90,2007,7,122.32
91,2007,8,118.71
92,2007,9,115.83
93,2007,10,115.91
94,2007,11,114.87
95,2007,12,110.44
96,2008,1,109.7
97,2008,2,106.3
98,2008,3,103.57
99,2008,4,101.77
100,2008,5,104.04
101,2008,6,104.41
102,2008,7,105.73
103,2008,8,107.59
104,2008,9,108.85
105,2008,10,106.06
106,2008,11,98.95
107,2008,12,93.71
108,2009,1,91.12
109,2009,2,89.86
110,2009,3,97.17
111,2009,4,98.93
112,2009,5,99.24
113,2009,6,96.53
114,2009,7,96.41
115,2009,8,95.23
116,2009,9,93.09
117,2009,10,89.73
118,2009,11,90.56
119,2009,12,86.62
120,2010,1,92.55
121,2010,2,90.8
122,2010,3,89.28
123,2010,4,93.83
124,2010,5,94.68
125,2010,6,91.16
126,2010,7,87.42
127,2010,8,86.42
128,2010,9,84.48
129,2010,10,83.3
130,2010,11,80.66
131,2010,12,84
132,2011,1,81.56
133,2011,2,81.48
134,2011,3,81.86
135,2011,4,84.05
136,2011,5,81.23
137,2011,6,80.82
138,2011,7,80.81
139,2011,8,76.87
140,2011,9,76.81
141,2011,10,76.66
142,2011,11,78.28
143,2011,12,77.6
144,2012,1,76.67
145,2012,2,76.11
146,2012,3,81.16
147,2012,4,82.16
148,2012,5,80.17
149,2012,6,78.21
150,2012,7,79.42
151,2012,8,78.19
152,2012,9,78.35
153,2012,10,78
154,2012,11,80.14
155,2012,12,82.24
156,2013,1,87.1
157,2013,2,92.54
158,2013,3,93.38
159,2013,4,93.3
160,2013,5,97.28
161,2013,6,99.18
162,2013,7,99.62
163,2013,8,99.3
164,2013,9,99.43
165,2013,10,98.05
166,2013,11,98.78
167,2013,12,103.04
168,2014,1,104.84
169,2014,2,101.11
170,2014,3,101.36
171,2014,4,103.52
172,2014,5,102.3
173,2014,6,102.3
174,2014,7,101.51
175,2014,8,102.45
176,2014,9,105.1
177,2014,10,109.3
178,2014,11,113.92
179,2014,12,118.14
180,2015,1,120.2
181,2015,2,117.33
182,2015,3,120.06
183,2015,4,119.62
184,2015,5,120.21
185,2015,6,124.64
186,2015,7,123.02
187,2015,8,123.98
188,2015,9,119.94
189,2015,10,119.58
190,2015,11,120.7
191,2015,12,122.88
192,2016,1,119.3
193,2016,2,121.06
194,2016,3,113.94
195,2016,4,112.06
196,2016,5,106.48
197,2016,6,109.55
198,2016,7,102.55
199,2016,8,102.26
200,2016,9,103.22
201,2016,10,101.54
202,2016,11,104.59
203,2016,12,114.34
204,2017,1,117.68
205,2017,2,113.29
206,2017,3,113.66
207,2017,4,110.96
208,2017,5,111.78
209,2017,6,111.24
210,2017,7,113.32
211,2017,8,110.33
212,2017,9,110.09
213,2017,10,112.6
214,2017,11,114.04
215,2017,12,111.88
216,2018,1,112.18
217,2018,2,109.5
218,2018,3,106.91
219,2018,4,105.99
220,2018,5,109.69
221,2018,6,109.49
222,2018,7,110.73
223,2018,8,111.72
224,2018,9,111.44
225,2018,10,113.96
226,2018,11,112.79
227,2018,12,113.54
228,2019,1,109.22
229,2019,2,109.55
230,2019,3,111.89
231,2019,4,111.29
232,2019,5,111.18
233,2019,6,108.39
234,2019,7,108.42
235,2019,8,108.28
236,2019,9,105.88
237,2019,10,107.7
238,2019,11,108.16
239,2019,12,109.09
240,2020,1,108.43
241,2020,2,108.59
242,2020,3,108.02
243,2020,4,107.05
244,2020,5,106.76
245,2020,6,107.56
246,2020,7,107.5
247,2020,8,106.11
248,2020,9,106
249,2020,10,105.53
250,2020,11,104.8
251,2020,12,104.4
